ticker,company_name,cusip,classification,weighting,active
AAPL,Apple Inc.,037833100,"Technology Hardware, Storage & Peripherals",4.77,true
NVDA,NVIDIA Corporation,67066G104,Semiconductors & Semiconductor Equipment,4.61,true
GOOGL,Alphabet Inc.,02079K305,Interactive Media & Services,4.60,true
LRCX,Lam Research Corporation,512807306,Semiconductors & Semiconductor Equipment,4.59,true
AMAT,Applied Materials Inc.,038222105,Semiconductors & Semiconductor Equipment,4.58,true
PLTR,Palantir Technologies Inc.,69608A108,Software,4.41,true
AVGO,Broadcom Inc.,11135F101,Semiconductors & Semiconductor Equipment,4.38,true
MSFT,Microsoft Corporation,594918104,Software,4.37,true
PANW,Palo Alto Networks Inc.,697435105,Software,4.36,true
CSCO,Cisco Systems Inc.,17275R102,Communications Equipment,4.28,true
V,Visa Inc.,92826C839,Financial Services,4.24,true
MA,Mastercard Incorporated,57636Q104,Financial Services,4.20,true
NFLX,Netflix Inc.,64110L106,Entertainment,3.96,true
ANET,Arista Networks Inc.,040413205,Communications Equipment,3.79,true
TXN,Texas Instruments Incorporated,882508104,Semiconductors & Semiconductor Equipment,3.63,true
KLAC,KLA Corporation,482480100,Semiconductors & Semiconductor Equipment,3.61,true
MRVL,Marvell Technology Inc.,573874104,Semiconductors & Semiconductor Equipment,3.37,true
QCOM,QUALCOMM Incorporated,747525103,Semiconductors & Semiconductor Equipment,3.10,true
APH,Amphenol Corporation,032095101,"Electronic Equipment, Instruments & Components",2.99,true
CRM,Salesforce Inc.,79466L302,Software,2.81,true
NOW,ServiceNow Inc.,81762P102,Software,2.08,true
GLW,Corning Incorporated,219350105,"Electronic Equipment, Instruments & Components",2.02,true
FTNT,Fortinet Inc.,34959E109,Software,1.87,true
APP,Applovin Corp.,03831W108,Media,1.61,true
ADBE,Adobe Incorporated,00724F101,Software,1.39,true
DDOG,Datadog Inc.,23804L103,Software,1.30,true
CDNS,Cadence Design Systems Inc.,127387108,Software,1.22,true
HPE,Hewlett Packard Enterprise Company,42824C109,"Technology Hardware, Storage & Peripherals",1.18,true
MSI,Motorola Solutions Inc.,620076307,Communications Equipment,1.11,true
TWLO,Twilio Inc.,90138F102,IT Services,0.30,true
ENTG,Entegris Inc.,29362U104,Semiconductors & Semiconductor Equipment,0.28,true
SNX,TD SYNNEX Corporation,87162W100,"Electronic Equipment, Instruments & Components",0.28,true
TER,Teradyne Inc.,880770102,Semiconductors & Semiconductor Equipment,0.28,true
FFIV,F5 Inc.,315616102,Communications Equipment,0.27,true
KEYS,Keysight Technologies Inc.,49338L103,"Electronic Equipment, Instruments & Components",0.27,true
MPWR,Monolithic Power Systems Inc.,609839105,Semiconductors & Semiconductor Equipment,0.27,true
MTSI,MACOM Technology Solutions Holdings Inc.,55405Y100,Semiconductors & Semiconductor Equipment,0.26,true
NTAP,NetApp Inc.,64110D104,"Technology Hardware, Storage & Peripherals",0.26,true
JBL,Jabil Inc.,466313103,"Electronic Equipment, Instruments & Components",0.25,true
MKSI,MKS Inc.,55306N104,Semiconductors & Semiconductor Equipment,0.25,true
ON,ON Semiconductor Corporation,682189105,Semiconductors & Semiconductor Equipment,0.25,true
ZBRA,Zebra Technologies Corporation,989207105,"Electronic Equipment, Instruments & Components",0.25,true
CIEN,Ciena Corporation,171779309,Communications Equipment,0.24,true
CPAY,Corpay Inc.,219948106,Financial Services,0.24,true
UI,Ubiquiti Inc.,90353W103,Communications Equipment,0.24,true
WDAY,Workday Inc.,98138H101,Software,0.24,true
ZM,Zoom Communications Inc.,98980L101,Software,0.23,true
GEN,Gen Digital Inc.,668771108,Software,0.22,true
ADSK,Autodesk Inc.,052769106,Software,0.21,true
GWRE,Guidewire Software Inc.,40171V100,Software,0.18,true
TMUS,T-Mobile US Inc.,872590104,Wireless Telecommunication Services,2.84,false
ADI,Analog Devices Inc.,032654105,Semiconductors & Semiconductor Equipment,2.63,false
ORCL,Oracle Corporation,68389X105,Software,2.48,false
SNPS,Synopsys Inc.,871607107,Software,1.04,false
ROKU,Roku Inc.,77543R102,Entertainment,0.29,false
TKO,TKO Group Holdings Inc.,87256C101,Entertainment,0.24,false
FOXA,Fox Corporation,35137L105,Media,0.23,false
PTC,PTC Inc.,69370C100,Software,0.23,false
WMG,Warner Music Group Corp.,934550203,Entertainment,0.23,false
RMBS,Rambus Inc.,750917106,Semiconductors & Semiconductor Equipment,0.18,false
